2023-05-03 09:17:43 install gpg-wks-server:amd64 <none> 2.2.27-2+deb11u2
2023-05-03 09:17:43 status half-installed gpg-wks-server:amd64 2.2.27-2+deb11u2
2023-05-03 09:17:43 status unpacked gpg-wks-server:amd64 2.2.27-2+deb11u2
2023-05-03 09:17:43 install gpgsm:amd64 <none> 2.2.27-2+deb11u2
2023-05-03 09:17:43 status half-installed gpgsm:amd64 2.2.27-2+deb11u2
2023-05-03 09:17:43 status unpacked gpgsm:amd64 2.2.27-2+deb11u2
2023-05-03 09:17:43 install gnupg:all <none> 2.2.27-2+deb11u2
2023-05-03 09:17:43 status half-installed gnupg:all 2.2.27-2+deb11u2
2023-05-03 09:17:43 status unpacked gnupg:all 2.2.27-2+deb11u2
2023-05-03 09:17:43 install libbluetooth3:amd64 <none> 5.55-3.1
2023-05-03 09:17:43 status half-installed libbluetooth3:amd64 5.55-3.1
2023-05-03 09:17:43 status unpacked libbluetooth3:amd64 5.55-3.1
2023-05-03 09:17:43 install libc-dev-bin:amd64 <none> 2.31-13+deb11u6
2023-05-03 09:17:43 status half-installed libc-dev-bin:amd64 2.31-13+deb11u6
2023-05-03 09:17:43 status unpacked libc-dev-bin:amd64 2.31-13+deb11u6
2023-05-03 09:17:43 install linux-libc-dev:amd64 <none> 5.10.178-3
2023-05-03 09:17:43 status half-installed linux-libc-dev:amd64 5.10.178-3
2023-05-03 09:17:43 status unpacked linux-libc-dev:amd64 5.10.178-3
2023-05-03 09:17:43 install libcrypt-dev:amd64 <none> 1:4.4.18-4
2023-05-03 09:17:43 status half-installed libcrypt-dev:amd64 1:4.4.18-4
2023-05-03 09:17:43 status unpacked libcrypt-dev:amd64 1:4.4.18-4
2023-05-03 09:17:43 install libtirpc-dev:amd64 <none> 1.3.1-1+deb11u1
2023-05-03 09:17:43 status half-installed libtirpc-dev:amd64 1.3.1-1+deb11u1
2023-05-03 09:17:43 status unpacked libtirpc-dev:amd64 1.3.1-1+deb11u1
2023-05-03 09:17:43 install libnsl-dev:amd64 <none> 1.3.0-2
2023-05-03 09:17:43 status half-installed libnsl-dev:amd64 1.3.0-2
2023-05-03 09:17:43 status unpacked libnsl-dev:amd64 1.3.0-2
2023-05-03 09:17:43 install libc6-dev:amd64 <none> 2.31-13+deb11u6
2023-05-03 09:17:43 status half-installed libc6-dev:amd64 2.31-13+deb11u6
2023-05-03 09:17:44 status unpacked libc6-dev:amd64 2.31-13+deb11u6
2023-05-03 09:17:44 install libbluetooth-dev:amd64 <none> 5.55-3.1
2023-05-03 09:17:44 status half-installed libbluetooth-dev:amd64 5.55-3.1
2023-05-03 09:17:44 status unpacked libbluetooth-dev:amd64 5.55-3.1
2023-05-03 09:17:44 install libbrotli1:amd64 <none> 1.0.9-2+b2
2023-05-03 09:17:44 status half-installed libbrotli1:amd64 1.0.9-2+b2
